Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.43     0.00    26196     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<std::pair<float const, entityx::Entity> >*&, std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node<std::pair<float const, entityx::Entity> >*&, std::_Rb_tree_node_base*&)
  0.00      0.43     0.00    26196     0.00     0.00  std::_Rb_tree<float, std::pair<float const, entityx::Entity>, std::_Select1st<std::pair<float const, entityx::Entity> >, std::less<float>, std::allocator<std::pair<float const, entityx::Entity> > >::_M_get_node()
  0.00      0.43     0.00    26196     0.00     0.00  std::_Rb_tree<float, std::pair<float const, entityx::Entity>, std::_Select1st<std::pair<float const, entityx::Entity> >, std::less<float>, std::allocator<std::pair<float const, entityx::Entity> > >::_M_put_node(std::_Rb_tree_node<std::pair<float const, entityx::Entity> >*)
  0.00      0.43     0.00    26196     0.00     0.00  std::_Rb_tree<float, std::pair<float const, entityx::Entity>, std::_Select1st<std::pair<float const, entityx::Entity> >, std::less<float>, std::allocator<std::pair<float const, entityx::Entity> > >::_M_drop_node(std::_Rb_tree_node<std::pair<float const, entityx::Entity> >*)
  0.00      0.43     0.00    26196     0.00     0.00  std::_Rb_tree_node<std::pair<float const, entityx::Entity> >* std::_Rb_tree<float, std::pair<float const, entityx::Entity>, std::_Select1st<std::pair<float const, entityx::Entity> >, std::less<float>, std::allocator<std::pair<float const, entityx::Entity> > >::_M_create_node<float, entityx::Entity&>(float&&, entityx::Entity&)
  0.00      0.43     0.00    26196     0.00     0.00  std::_Rb_tree<float, std::pair<float const, entityx::Entity>, std::_Select1st<std::pair<float const, entityx::Entity> >, std::less<float>, std::allocator<std::pair<float const, entityx::Entity> > >::_M_insert_node(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, std::_Rb_tree_node<std::pair<float const, entityx::Entity> >*)
  0.00      0.43     0.00    26196     0.00     0.00  std::_Rb_tree<float, std::pair<float const, entityx::Entity>, std::_Select1st<std::pair<float const, entityx::Entity> >, std::less<float>, std::allocator<std::pair<float const, entityx::Entity> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<float const, entityx::Entity> >*)
  0.00      0.43     0.00    26196     0.00     0.00  std::_Rb_tree_iterator<std::pair<float const, entityx::Entity> > std::_Rb_tree<float, std::pair<float const, entityx::Entity>, std::_Select1st<std::pair<float const, entityx::Entity> >, std::less<float>, std::allocator<std::pair<float const, entityx::Entity> > >::_M_emplace_equal<float, entityx::Entity&>(float&&, entityx::Entity&)
  0.00      0.43     0.00    26196     0.00     0.00  void std::_Rb_tree<float, std::pair<float const, entityx::Entity>, std::_Select1st<std::pair<float const, entityx::Entity> >, std::less<float>, std::allocator<std::pair<float const, entityx::Entity> > >::_M_construct_node<float, entityx::Entity&>(std::_Rb_tree_node<std::pair<float const, entityx::Entity> >*, float&&, entityx::Entity&)
  0.00      0.43     0.00    26196     0.00     0.00  std::_Rb_tree<float, std::pair<float const, entityx::Entity>, std::_Select1st<std::pair<float const, entityx::Entity> >, std::less<float>, std::allocator<std::pair<float const, entityx::Entity> > >::_M_get_insert_equal_pos(float const&)
